,Unnamed: 0,CityID,type,Area,GROWTH,BA2015,BA2000,BA1990,BA1975,1990常住人口,1990生产总值,1990财政收入,1990财政支出,1990全社会固定资产投资总额,1990社会消费品零售总额,1990进出口总额,1990工业总产值,1990客运量,1990货运量,1990总消费支出,1990就业人数,1990总家庭可支配收入,2000常住人口,2000生产总值,2000财政收入,2000财政支出,2000全社会固定资产投资总额,2000社会消费品零售总额,2000进出口总额,2000工业总产值,2000客运量,2000货运量,2000总消费支出,2000就业人数,2000总家庭可支配收入,2015常住人口,2015生产总值,2015财政收入,2015财政支出,2015全社会固定资产投资总额,2015社会消费品零售总额,2015进出口总额,2015工业总产值,2015客运量,2015货运量,2015总消费支出,2015就业人数,2015总家庭可支配收入
37,37,3093,3,84.0,141.18%,57.72972091,38.19255299,33.79179128,23.93969465,9.121071364,1.860782142,0.139104174,0.10302318,0.421259763,0.859181937,0.0,1.037758514,120.5276967,41.47841159,135.39767869999997,11.13388521,164.0900014,10.14995968,10.63423498,0.7656505029999999,0.534006988,2.888668344,3.42457189,0.341060449,13.43231005,139.8091513,105.5494897,368.8984768,16.27069453,553.119392,12.62471546,109.9745447,14.10483412,12.12260978,78.21511429,33.86595801,2.830444669,268.9373111,113.8666542,332.975775,2830.061372,29.68637008,4228.970303
38,38,3107,4,12.91627866,160.00%,6.625243198,0.0,0.0,0.0,0.386865891,0.051374636,0.002971921,0.003558286,0.008743962,0.019901344,0.00030571200000000003,0.073746733,1.824749275,1.613757941,5.438242965,0.242881964,7.1997402,0.656243541,0.430008082,0.023451115,0.023566597,0.120333587,0.145644624,0.00311183,0.411668947,4.776009781,5.538191652,27.6224971,0.516087913,37.30516608,1.091048783,6.2052883770000005,1.4267103019999998,1.4963551519999998,5.080112262,2.118522843,0.12228967,12.43128104,14.2678561,23.4539275,232.8621656,1.34379618,317.3699558
39,39,3125,3,40.0,157.14%,25.26369796,15.43838043,11.226595,9.823523800000002,5.188119974,0.296472047,0.021350774,0.026341027000000003,64.04829687,0.03675617,0.000248171,0.158295007,18.14332842,4.835985134,64.04061307,1.1609994609999998,86.28903074,4.737348153,1.149111093,0.089110892,0.093913121,0.371255456,0.5787267629999999,0.002119423,0.435449089,15.07896457,2.83697737,164.70383619999996,1.3051385640000002,239.6358495,5.954455096,9.40921765,1.507343773,3.2525422410000004,7.573623079,5.084660416,0.112723265,14.99449196,99.63459083,410.9126163,1010.241697,2.432648508,1440.127163
40,40,3126,3,66.0,222.22%,40.70972807,22.08762141,16.51498475,12.30373645,8.014273654,0.457970928,0.032981300000000005,0.040689923,98.93768471,0.056778564,0.000383359,0.244523933,28.02664542,7.470318428,98.92581526,1.793437206,133.2937382,6.410671045,1.554999331,0.120586581,0.12708505,0.502390055,0.7831442359999999,0.002868044,0.58925812,20.40514617,3.839052586,222.8804132,1.76613872,324.2798611,9.59456715,15.1613152,2.428821919,5.240905245,12.2035743,8.193044537,0.181633905,24.16101182,160.54378730000005,662.1141021000002,1627.828515,3.919789314,2320.51406
41,41,3138,0,30.990797,1100.00%,16.82204653,8.407838468,5.6054966,1.401441504,3.101779835,0.5360329429999999,0.050598801,0.028578945,0.082999643,0.209415879,1.13e-05,0.750747155,18.3692505,11.79272893,54.41605041,3.783489122,59.14334189,3.750467754,3.442837705,0.255039102,0.140106478,1.144027364,1.194935541,0.150608838,3.330558936,36.5716806,31.9238236,184.1273384,6.2197875620000005,201.3502172,4.986762115,39.97201159,9.99812868,8.70530223,28.45330458,15.46772331,2.051880667,87.85892704,67.12769146,125.1324954,1179.296509,13.63635786,1790.520125
42,42,3149,0,37.0,71.43%,16.79971125,13.75696824,12.35647616,9.663605958,3.977601381,0.811467132,0.060661838,0.044927304,0.183706864,0.374680026,0.0,0.452555356,52.56083566,18.08829036,59.04547529,4.855367908,71.55788943,4.400963118,4.610942052,0.331981577,0.231542305,1.252509689,1.48487433,0.147881815,5.82417103,60.62042979,45.76564105,159.9522207,7.05487793,239.82933140000003,4.610532479,40.16258519,5.151070219,4.427164027,28.56407544,12.36781137,1.033675343,98.21561617,41.5839794,121.6023942,1033.5353630000004,10.84143036,1544.415397
43,43,3152,1,22.0,28.57%,12.5929654,11.1934174,9.794002111000001,0.0,3.658029762,0.632840422,0.059819329,0.03370435,0.097954741,0.2472438,0.0,0.8862532959999999,21.68391761,13.90127675,64.23380147,4.472040993999999,69.75742538,3.767206755,3.460175539,0.256419564,0.140742648,1.150046547,1.20099433,0.151546844,3.347380702,36.75347087,32.06685112,185.0016899,6.254092205,202.2251627,3.732662642,29.93062194,7.487036716,6.5178110920000005,21.30266403,11.58329284,1.537276544,65.79307217,50.2478498,93.68045161,882.8292124,10.21410952,1340.551977
44,44,3154,4,129.0,916.67%,85.40136358,41.8930489,29.30322261,8.401749365,15.81986956,2.736842938,0.258700461,0.145761095,0.423624553,1.0692544659999998,0.0,3.832776782,93.77636884,60.11880689,277.7917149,19.34022132,301.6797134,17.93977694,16.47766671,1.221092997,0.670229134,5.476624957,5.719242873,0.7216796809999999,15.94052757,175.0233295,152.7052253,880.9946646,29.78254883,963.0143889,23.70615739,190.0895159,47.5502042,41.39464785,135.293316,73.56554543,9.763250314,417.8521002,319.1243223,594.9649737000002,5606.852338000002,64.86985595,8513.851695000001
45,45,3161,3,43.0,112.50%,23.77397656,16.70959636,13.91345035,11.18869677,0.693173464,0.246553915,0.047733502,0.018194074,0.061223405,0.163539129,0.0,0.619982094,13.46223115,7.7272930089999985,37.87495032,2.048973221,45.14752707,0.991101088,1.7336714359999998,0.267104212,0.136131755,0.831605085,0.923293176,0.140627714,2.187984451,36.69734751,12.03737858,136.22755700000002,4.037766129,160.68358759999995,1.896515755,28.45801063,6.107469713,3.938760433,30.10167272,13.70426032,1.536446706,70.60252818,111.0327478,246.3287192,1027.537736,10.86885443,1542.699678
46,46,3178,0,2.4399221,109.30%,2.907597017,2.907597017,0.0,0.0,0.101149282,0.020635381,0.001542613,0.001142489,0.004671614,0.009528007,0.0,0.011508355,1.33660724,0.459980127,1.501509799,0.123470638,1.819696965,0.434370551,0.455095257,0.032766242,0.022852988,0.123621423,0.146555575,0.014595784,0.574839714,5.983174319,4.517021888,15.78712032,0.6963092240000001,23.67090932,0.419865505,3.657469975,0.469090438,0.403166764,2.6012331580000003,1.126294498,0.094133296,8.944161974,3.786911509,11.07391627,94.12054877,0.987292173,140.6446551
